id	nom	prenoms_alias	naissance	deces	lieux	statut_source	source	pages_notes
CAS-RINUCCIO	de Casabianca	Rinuccio			Corse	rapporte	CASABIANCA-2010-MOUSSIA	p.12
CAS-PIETRO-I	de Casabianca	Pietro I		1553	Casabianca	rapporte	CASABIANCA-2010-MOUSSIA	pp.17-18
CAS-BERNARDINO	de Casabianca	Bernardino			Corse	rapporte	CASABIANCA-2010-MOUSSIA	p.18
CAS-PIETRO-PAOLO-I	de Casabianca	Pietro-Paolo I			Bastia	rapporte	CASABIANCA-2010-MOUSSIA	p.19
CAS-VINCENZO-II	de Casabianca	Vincenzo II			Casabianca; Venzolasca	rapporte	CASABIANCA-2010-MOUSSIA	p.19; installation Venzolasca vers 1560
CAS-PIETRO-II	de Casabianca	Pietro II		1608	Venzolasca	rapporte	CASABIANCA-2010-MOUSSIA	p.20
CAS-FRANCESCO-I	de Casabianca	Francesco I	avant 1574		Venzolasca	rapporte	CASABIANCA-2010-MOUSSIA	p.20; ep. Anna Casella
CAS-GIUSEPPE	de Casabianca	Giuseppe; capitaine Giuseppe				rapporte	CASABIANCA-2010-MOUSSIA	p.20; ep. Catherine Morlas
CAS-ANTONIO-PAOLO-II	de Casabianca	Antonio-Paolo II	bapt. 1662-04-09			rapporte	CASABIANCA-2010-MOUSSIA	p.20; ep. Madeleine Petrignani
CAS-FRANCESCO-SAVERIO-I	de Casabianca	Francesco-Saverio I				rapporte	CASABIANCA-2010-MOUSSIA	p.20; capitaine vers 1720; ep. Catherine Testoni
CAS-PIETRO-III	de Casabianca	Pietro III	1709	1779-02-18	Venzolasca	documente_dans_source	CASABIANCA-2010-MOUSSIA	p.22; bapt. 1709-06-23; testament 1772/1779
CAS-FRANCOIS-MARIE-I	de Casabianca	François-Marie I	1739-12-26		Corse	rapporte	CASABIANCA-2010-MOUSSIA	p.27
CAS-PIERRE-JOSEPH-VINCENT	de Casabianca	Pierre Joseph Vincent	1784-11-28	1840	Venzolasca; Bastia	rapporte	CASABIANCA-2010-MOUSSIA	p.28
CAS-FRANCOIS-MARIE-II	de Casabianca	François-Marie II Jean	1816-05-14	1896	Bastia	documente_dans_source	CASABIANCA-2010-MOUSSIA	p.29; AN BB 6 II 75; ep. Joséphine Gregorj
CAS-JOSEPHINE-GREGORJ	Gregorj	Joséphine	1832	1927		rapporte	CASABIANCA-2010-MOUSSIA	p.29; cousine germaine et epouse de François-Marie II
CAS-PIERRE-1859	de Casabianca	Pierre	1859	1944		rapporte	CASABIANCA-2010-MOUSSIA	Tableau 3 p.143
CAS-MARGUERITE-1861	de Casabianca	Marguerite	1861	1919-09-17	Bastia; Minesteggio	rapporte	CASABIANCA-2010-MOUSSIA	pp.53-54; ep. Pierre Mariani en 1893
MAR-PIERRE	Mariani	Pierre; baron Pierre Mariani		1938-02-17	Corte; Bastia	rapporte	CASABIANCA-2010-MOUSSIA	pp.53-54
MAR-MARIE-LOUISE-1901	Mariani	Marie-Louise	1901-08-03	1983-02-26	Corse; Nîmes	rapporte	CASABIANCA-2010-MOUSSIA	p.54; ep. Jean Robert juillet 1939
ROB-JEAN-1903	Robert	Jean	1903	1969-12-27	Bastia; Cannes; Reims; Nîmes	rapporte	CASABIANCA-2010-MOUSSIA	p.54
ROB-MARGUERITE-1940	Robert	Marguerite	1940-12-12	1993-09-09	Nîmes; Bastia	rapporte	CASABIANCA-2010-MOUSSIA	p.54
CAS-FRANCOIS-MARIE-III	de Casabianca	François-Marie III Luce	1894-12-18	1964	Marseille	rapporte	CASABIANCA-2010-MOUSSIA	p.31; tableaux 3-4
CAS-MOUSSIA	de Casabianca	Rose-Marie; Moussia	1925			auteur	CASABIANCA-2010-MOUSSIA	Tableau 4 p.144
